tau,t_nondim,t_days,x,y,z,vx_halo,vy_halo,vz_halo,vx_arr,vy_arr,vz_arr,delta_v_nondim,delta_v_m_s,C_halo,C_arr,delta_C,dist_from_moon_km,dist_from_l2_km,valid
0.026000000000000002,0.08825430346881076,0.3832425344725505,1.1112180671810374,0.017746511811793035,0.0341250970403708,0.0022648269214119035,0.1981380570543633,-0.019670513902544515,0.22269397859281762,0.003518027067652345,0.006764879563233881,0.2952368489980449,302.4839851922932,3.141218919916295,3.131218919916295,0.009999999999999787,49674.364229985214,22599.70077032181,True
0.027,0.0916486997560727,0.39798263195226397,1.1112259372986037,0.018418493361522573,0.034057085371409515,0.00237266676255704,0.1977957366280784,-0.020401942176073808,0.22245502128988123,0.0036472956800217234,0.006744105389682349,0.2947316878031512,301.96642387867485,3.1412189199162945,3.1312189199162948,0.009999999999999787,49706.49028599666,22661.615992098414,True
0.028,0.09504309604333466,0.41272272943197746,1.1112341772744698,0.019089292284196632,0.03398659562138691,0.0024827610881042565,0.19744125886849118,-0.021130600133632663,0.22220770935156256,0.0037758994586302485,0.006722615280699533,0.29421272224981576,301.4347193530265,3.141218919916295,3.131218919916295,0.009999999999999787,49739.769283328846,22725.527851357645,True
0.029,0.09843749233059661,0.4274628269116909,1.1112427948752974,0.019758867449113565,0.03391363734561737,0.0025951768202581767,0.19707470434994276,-0.021856398579276966,0.22195211381422172,0.00390381720214789,0.006700416468615243,0.29368001146574363,300.88893219445225,3.141218919916295,3.131218919916295,0.009999999999999787,49774.19482148817,22791.40217255141,True
0.03,0.10183188861785855,0.4422029243914044,1.111251798092077,0.020427178002907744,0.033838220399877265,0.002709979205842577,0.19669615589540274,-0.022579249680285983,0.22168830784471555,0.004031028060855176,0.0066775163922246535,0.29313361843705066,300.3291269351791,3.141218919916295,3.131218919916295,0.009999999999999787,49809.76030167777,22859.204121859642,True
0.031,0.10522628490512051,0.4569430218711179,1.1112611951343756,0.021094183377071224,0.03376035493572299,0.0028272317788406846,0.19630569851083549,-0.02329906699908045,0.2214163666962169,0.004157511545518572,0.006653922691249548,0.29257360996743076,299.7553720187216,3.141218919916295,3.131218919916295,0.009999999999999787,49846.4589302263,22928.898255087977,True
0.032,0.10862068119238247,0.4716831193508314,1.1112709944244616,0.021759843295250714,0.03368005139570333,0.0029469963249618464,0.1959034193184571,-0.024015765523610497,0.22113636766317935,0.004283247535923738,0.006629643200689648,0.29200005663494927,299.1677397556145,3.1412189199162954,3.1312189199162956,0.009999999999999787,49884.283722094675,23000.448565167535,True
0.033,0.11201507747964443,0.4864232168305449,1.1112812045913152,0.022424117780316246,0.033597320508471216,0.003069332848267298,0.19548940748898638,-0.024729261696193414,0.22084839003552337,0.004408216289062323,0.006604685945071849,0.29141303274654284,298.5663062767962,3.1412189199162954,3.1312189199162956,0.009999999999999787,49923.227504456314,23073.818529141943,True
0.034,0.11540947376690637,0.5011633143102584,1.1112918344645248,0.023086967161198346,0.03351217328380036,0.003194299539860126,0.19506375417299016,-0.02543947344079063,0.22055251505209186,0.00453239844696801,0.006579059132604388,0.2908126162903036,297.95115148472115,3.141218919916295,3.131218919916295,0.009999999999999787,49963.282920346115,23148.9711545346,True
0.035,0.11880387005416833,0.5159034117899719,1.1113028930680842,0.023748352079490727,0.033424621007511826,0.0033219527486581385,0.19462655243142488,-0.026146320188711665,0.22024882585344335,0.00465577504419847,0.006552771149243576,0.2901988888856307,297.3223590022882,3.1412189199162954,3.1312189199162956,0.009999999999999787,50004.44243237567,23225.8690249948,True
0.036000000000000004,0.12219826634143029,0.5306435092696854,1.1113143896140925,0.024408233495816018,0.03333467523631617,0.0034523469542566245,0.19417789716547657,-0.026849722902736673,0.2199374074340471,0.004778327514960395,0.006525830552680611,0.28957193573133894,296.6800161196749,3.141218919916295,3.131218919916295,0.009999999999999787,50046.69832651003,23304.474345130675,True
0.037,0.1255926626286922,0.5453836067493987,1.1113263334963657,0.025066572695952236,0.03324234779257628,0.003585534741882822,0.19371788504579823,-0.027549604099654557,0.21961834659393106,0.0049000376998750645,0.00649824606625563,0.28893184555180323,296.02421373916076,3.1412189199162954,3.1312189199162956,0.009999999999999787,50090.04271590179,23384.748984444635,True
0.038,0.12898705891595416,0.5601237042291122,1.1113387342839673,0.025723331296718298,0.03314765075899652,0.0037215667794452956,0.19324661444124636,-0.028245887871212006,0.21929173188985393,0.005020887852382939,0.006470026572806705,0.2882787105412379,295.35504631803803,3.1412189199162954,3.1312189199162956,0.009999999999999787,50134.46754477939,23466.6545202937,True
0.039,0.13238145520321612,0.5748638017088257,1.1113516017146639,0.026378471251616714,0.03305059647324333,0.003860491796674184,0.1927641853472144,-0.02893849990347517,0.2189576535860524,0.005140860644785761,0.006441181108460868,0.28761262630619205,294.67261180969604,3.1412189199162954,3.1312189199162956,0.009999999999999787,50179.964592384655,23550.152279806247,True
0.04,0.13577585149047808,0.5896038991885392,1.1113649456883135,0.02703195485623273,0.03295119752250296,0.004002356566350828,0.19227069931366214,-0.029627367494604987,0.21861620360463316,0.005259939173925798,0.006411718856374811,0.286933691806359,293.9770116029773,3.1412189199162954,3.1312189199162956,0.009999999999999787,50226.52547695649,23635.203380693074,True
0.041,0.13917024777774004,0.6043439966682527,1.1113787762601945,0.0276837447533885,0.032849466737981406,0.004147205887600895,0.1917662593729354,-0.03031241957105678,0.21826747547566255,0.0053781069665018695,0.006381649140432311,0.28624200929379945,293.268350459909,3.1412189199162963,3.1312189199162965,0.009999999999999787,50274.141659756286,23721.768770899165,True
0.042,0.142564644065002,0.6190840941479663,1.1113931036342801,0.028333803938054347,0.032745417189351124,0.004295082571264483,0.19125096996747473,-0.03099358670220383,0.21791156428701022,0.005495347984022902,0.0063509814189053205,0.2855376842506515,292.5467364518841,3.1412189199162968,3.131218919916297,0.009999999999999787,50322.8044491309,23809.809267049623,True
0.043000000000000003,0.14595904035226395,0.6338241916276798,1.1114079381564683,0.02898209576201424,0.03263906217915072,0.004446027427300727,0.1907249368775019,-0.03167080111340418,0.21754856663401584,0.005611646627399703,0.006319725278086338,0.2848208253254503,291.81228089441754,3.1412189199162963,3.1312189199162965,0.009999999999999787,50372.505004610604,23899.28559164919,True
0.044,0.14935343663952588,0.6485642891073932,1.111423290307771,0.029628583938270833,0.03253041523715042,0.0046000792542082855,0.19018826714877798,-0.0323439966975134,0.21717858056901654,0.005726987741172975,0.006287890425899976,0.28409154426814015,291.0650982805634,3.1412189199162968,3.131218919916297,0.009999999999999787,50423.234341035495,23990.15840900264,True
0.045,0.15274783292678784,0.6633043865871067,1.1114391706974716,0.030273232545233036,0.03241949011466765,0.004757274830470169,0.18964106902052347,-0.03301310902487152,0.21680170555081757,0.00584135661738834,0.006255486685497333,0.28334995586386774,290.3053062130827,3.141218919916297,3.1312189199162974,0.009999999999999787,50474.983332709795,24082.388359831908,True
0.046,0.1561422292140498,0.6780444840668202,1.111455590056256,0.03091600603064046,0.032306300778860465,0.004917648907960145,0.18908345185358497,-0.03367807535176883,0.2164180423941335,0.005954738999111008,0.006222523988843505,0.2825961778656651,289.5330253354741,3.1412189199162963,3.1312189199162965,0.009999999999999787,50527.74271757755,24175.936094567147,True
0.047,0.15953662550131173,0.6927845815465336,1.1114725592293253,0.031556869215249195,0.03219086140699242,0.005081234207298118,0.1885155260589345,-0.03433883462741683,0.21602769321906976,0.006067121083587794,0.006189012370303163,0.28183033092611554,288.74837926196244,3.1412189199162968,3.131218919916297,0.009999999999999787,50581.50310141732,24270.762305298736,True
0.048,0.1629310217885737,0.707524679026247,1.111490089169496,0.03219578729627563,0.03207318638067647,0.005248061415122893,0.1879374030265834,-0.034995327499443576,0.21563076140069473,0.00617848952505877,0.006154961960231068,0.2810525385280995,287.9514945065446,3.1412189199162968,3.131218919916297,0.009999999999999787,50636.25496205192,24366.8277563817,True
0.049,0.16632541807583565,0.7222647765059605,1.1115081909302935,0.03283272585059965,0.03195329028010257,0.0054181591832469156,0.187349195054991,-0.03564749631793662,0.21522735151874836,0.006288831437221944,0.006120382978573718,0.2802629269147135,287.1425004111879,3.141218919916297,3.1312189199162974,0.009999999999999787,50691.98865356915,24464.09331368904,True
0.05,0.1697198143630976,0.737004873985674,1.1115268756590466,0.03346765083772935,0.031831187878254,0.005591554129658985,0.18675101528104515,-0.03629528513805849,0.21481756930754198,0.006398134395355204,0.006085285728488498,0.2794616250184594,286.3215290732819,3.141218919916297,3.1312189199162974,0.009999999999999787,50748.69441055082,24562.519972515336,True
0.051000000000000004,0.17311421065035956,0.7517449714653875,1.111546154589988,0.034100528602529004,0.03170689413511723,0.005768270841328985,0.1861429776106871,-0.03693863972126328,0.21440152160608864,0.0065063864380995465,0.006049680589986077,0.27864876438979774,285.48871527243716,3.1412189199162968,3.131218919916297,0.009999999999999787,50806.36235230516,24662.06888413707,True
0.052000000000000005,0.17650860693762152,0.766485068945101,1.1115660390373672,0.0347313258777128,0.031580424191889986,0.005948331878788153,0.1855251966502562,-0.03757750753513811,0.21397931630852735,0.006613576068908888,0.006013578013602433,0.2778244791251627,284.6441963967336,3.141218919916297,3.1312189199162974,0.009999999999999787,50864.98248710033,24762.701381039555,True
0.053,0.17990300322488345,0.7812251664248144,1.111586540388583,0.03536000978610689,0.031451793365192084,0.006131757782424429,0.18489778763861714,-0.03821183775190551,0.21355106231486307,0.006719692257170811,0.005976988514105459,0.27698890579452456,283.7881123685048,3.141218919916297,3.1312189199162974,0.009999999999999787,50924.544716395736,24864.37900082398,True
0.054,0.1832973995121454,0.7959652639045279,1.1116076700973385,0.035986547842682404,0.03132101714128368,0.006318567080466301,0.18426086638014097,-0.038841581245611816,0.2131168694820856,0.006824724439004234,0.0059399226642423055,0.27614218336859564,282.920605569757,3.1412189199162968,3.131218919916297,0.009999999999999787,50985.03883906632,24967.063508813415,True
0.055,0.18669179579940737,0.8107053613842414,1.1116294396768274,0.0366109079563625,0.031188111170295164,0.00650877629859576,0.18361454917859815,-0.039466690588038096,0.2126768485756967,0.0069286625177393145,0.005902391088532318,0.275284453145769,282.04182076731456,3.1412189199162968,3.131218919916297,0.009999999999999787,51046.45455561833,25070.716919376864,True
